ID,scaffold,start,end,Df_sym,Df_trt2,Df_colony,Df_sym.trt2,Df_Residuals,SumsOfSqs_sym,SumsOfSqs_trt2,SumsOfSqs_colony,SumsOfSqs_sym.trt2,SumsOfSqs_Residuals,MeanSqs_sym,MeanSqs_trt2,MeanSqs_colony,MeanSqs_sym.trt2,MeanSqs_Residuals,F.Model_sym,F.Model_trt2,F.Model_colony,F.Model_sym.trt2,F.Model_Residuals,R2_sym,R2_trt2,R2_colony,R2_sym.trt2,R2_Residuals,Pr..F._sym,Pr..F._trt2,Pr..F._colony,Pr..F._sym.trt2,Pr..F._Residuals
xpSc0004847:36888-15814,xpSc0004847,36888,15814,1,1,1,1,19,0.195964694179667,0.016761521244946,0.00335572105384163,0.00206235330703061,0.273566817948353,0.195964694179667,0.016761521244946,0.00335572105384163,0.00206235330703061,0.0143982535762291,13.6103099686476,1.16413571661347,0.233064450217892,0.143236351277732,NA,0.398536236211572,0.0340881484703391,0.00682457849957312,0.00419423778432713,0.556356799034189,0.001,0.331,0.062,0.72,NA
xfSc0000069:36098-101941,xfSc0000069,36098,101941,1,1,1,1,19,0.089593147229497,0.0561665749304714,0.747179063098043,0.0194389655698477,0.744494183455372,0.089593147229497,0.0561665749304714,0.747179063098043,0.0194389655698477,0.039183904392388,2.28647830324182,1.43340935012547,19.0685199620687,0.49609567681632,NA,0.0540736706173102,0.033899164907256,0.450957643519549,0.0117323283517727,0.449337192604112,0.027,0.232,0.252,0.374,NA
Sc0000403:206946-19245,Sc0000403,206946,19245,1,1,1,1,19,0.0353120671732364,0.00339736732855691,0.026652109908823,0.0040945897984779,0.132884039750041,0.0353120671732364,0.00339736732855691,0.026652109908823,0.0040945897984779,0.00699389682894952,5.0489831401388,0.485761716486057,3.81076681007119,0.585451844460924,NA,0.17451831973006,0.0167903746551243,0.131719318943581,0.0202361682228506,0.656735818448384,0.032,0.498,0.105,0.481,NA
Sc0000468:220649-361,Sc0000468,220649,361,1,1,1,1,19,0.172247761271711,0.000964201381254776,0.151728164608879,0.000281581386346597,1.02280639196835,0.172247761271711,0.000964201381254776,0.151728164608879,0.000281581386346597,0.0538319153667555,3.19973309695914,0.0179113333546781,2.81855407847109,0.00523075176553146,NA,0.12777757466104,0.000715268013191847,0.112555639262626,0.000208883914376718,0.758742634148765,0.078,0.898,0.281,0.942,NA
Sc0000006:290952-14461,Sc0000006,290952,14461,1,1,1,1,19,0.0421989138662833,0.000880188127363013,0.116442420848259,0.0385810352130947,0.246306910606784,0.0421989138662833,0.000880188127363013,0.116442420848259,0.0385810352130947,0.0129635216108834,3.2552044986646,0.0678973008865168,8.98231393778839,2.97612302977181,NA,0.0949550287336443,0.00198057914925498,0.262016066396814,0.0868141611142327,0.554234164606054,0.082,0.787,0.134,0.101,NA
Sc0001339:18967-254646,Sc0001339,18967,254646,1,1,1,1,19,0.0405932486219533,0.0268745569436864,0.145695757199233,0.00317862518522533,0.252707888552533,0.0405932486219533,0.0268745569436864,0.145695757199233,0.00317862518522533,0.0133004151869754,3.05202868115761,2.02058030263624,10.9542262516667,0.238986914358736,NA,0.0865435284109277,0.0572957095414431,0.310618768651701,0.00677672884935025,0.538765264546578,0.087,0.178,0.295,0.602,NA
Sc0001558:12155-197655,Sc0001558,12155,197655,1,1,1,1,19,0.0385055309927246,1.17964128762069e-05,0.283328797518904,5.74993847204386e-05,0.448539415310606,0.0385055309927246,1.17964128762069e-05,0.283328797518904,5.74993847204386e-05,0.0236073376479266,1.63108316435278,0.000499692640150081,12.0017259779308,0.00243565731883742,NA,0.049978426713706,1.53112070193115e-05,0.367747883943127,7.46315843787896e-05,0.582183746551769,0.114,0.981,0.382,0.968,NA
Sc0000203:51216-119045,Sc0000203,51216,119045,1,1,1,1,19,0.0265290384666935,0.0172639342080162,0.263291728148567,0.00511292462031859,0.382886666815807,0.0265290384666935,0.0172639342080162,0.263291728148567,0.00511292462031859,0.0201519298324109,1.31645151046656,0.856688880498686,13.0653356943069,0.253718857838386,NA,0.0381666493720635,0.0248371807567381,0.378791077687464,0.00735583392871504,0.55084925825502,0.16,0.297,0.639,0.604,NA
xfSc0000188:7422-66410,xfSc0000188,7422,66410,1,1,1,1,19,0.132651754603384,0.00688264698965707,0.0111305972670473,0.00173556237863157,1.41995370465839,0.132651754603384,0.00688264698965707,0.0111305972670473,0.00173556237863157,0.0747344055083363,1.77497571166987,0.092094758001244,0.148935382456555,0.0232230706436538,NA,0.0843650553062222,0.00437728770095597,0.0070789373034179,0.00110379856262312,0.903074921126781,0.176,0.755,0.583,0.893,NA
Sc0000626:12446-40511,Sc0000626,12446,40511,1,1,1,1,19,0.0383629050025857,7.07017526930601e-05,0.117566939710008,9.17887169138432e-06,0.724342559914577,0.0383629050025857,7.07017526930601e-05,0.117566939710008,9.17887169138432e-06,0.038123292627083,1.0062851962407,0.00185455525535675,3.08386111504145,0.000240768072715304,NA,0.0435767653986651,8.03107504546972e-05,0.133545333702875,1.04263620884014e-05,0.822787163785917,0.177,0.952,0.556,0.983,NA
Sc0000003:1494008-633951,Sc0000003,1494008,633951,1,1,1,1,19,0.00618114562675114,0.000694073622340708,0.0217298253511528,0.00187220520267131,0.0546449596366595,0.00618114562675114,0.000694073622340708,0.0217298253511528,0.00187220520267131,0.0028760505071926,2.14917839978573,0.24132873209456,7.55543941137665,0.650963951428941,NA,0.0726149575703726,0.00815384876532606,0.255277976150018,0.0219943210473209,0.641958896466962,0.178,0.662,0.22,0.473,NA
xfSc0000532:26502-13092,xfSc0000532,26502,13092,1,1,1,1,19,0.0958749690155924,0.000657002295656753,0.0638839944359948,0.00836478835438206,1.58935973108807,0.0958749690155924,0.000657002295656753,0.0638839944359948,0.00836478835438206,0.0836505121625301,1.14613726248694,0.00785413356920302,0.763701175097056,0.0999968576179135,NA,0.0545320296206295,0.000373691579934162,0.0363361147611034,0.00475774741827843,0.904000416620055,0.18,0.925,0.404,0.682,NA
xfSc0000355:40310-18597,xfSc0000355,40310,18597,1,1,1,1,19,0.0690738598345278,0.000540900347017342,0.0176417796894602,0.00570832639309936,1.45165304853411,0.0690738598345278,0.000540900347017342,0.0176417796894602,0.00570832639309936,0.0764027920281109,0.904075073710833,0.00707958875139443,0.230904908330696,0.0747135836475595,NA,0.0447190591101953,0.000350183913986266,0.0114214522053921,0.00369562358328926,0.939813681187137,0.204,0.915,0.639,0.747,NA
Sc0000045:782919-155094,Sc0000045,782919,155094,1,1,1,1,19,0.0187369269521976,0.00191039419583048,0.00953301419061084,0.0142079501558834,0.251949718455531,0.0187369269521976,0.00191039419583048,0.00953301419061084,0.0142079501558834,0.0132605114976595,1.41298674304567,0.144066403182688,0.718902448996286,1.07144812312791,NA,0.0632282282476185,0.00644667295576599,0.0321693946221545,0.0479450828665165,0.850210621307945,0.207,0.686,0.604,0.261,NA
Sc0000153:528295-201361,Sc0000153,528295,201361,1,1,1,1,19,0.054416314288046,0.0173496384698663,0.00697888279162967,0.00116598544414209,1.19228265669406,0.054416314288046,0.0173496384698663,0.00697888279162967,0.00116598544414209,0.0627517187733717,0.867168507122028,0.276480689437761,0.111214209396144,0.0185809323941079,NA,0.0427736152105963,0.0136375785398616,0.00548570867091225,0.000916515816651812,0.937186581761978,0.208,0.52,0.845,0.861,NA
xpSc0004890:32040-10132,xpSc0004890,32040,10132,1,1,1,1,19,0.0973180787019489,0.0945143097160553,0.00121125050407925,0.00316942576764392,1.13855997371785,0.0973180787019489,0.0945143097160553,0.00121125050407925,0.00316942576764392,0.0599242091430447,1.62401940874416,1.57723082319603,0.0202130411298025,0.0528905731584744,NA,0.072909832534565,0.070809273933802,0.000907458024117947,0.00237450538514409,0.852998930122371,0.213,0.242,0.147,0.816,NA
Sc0000314:26310-5786,Sc0000314,26310,5786,1,1,1,1,19,0.0823158432301179,0.135166274175887,0.120875979249261,1.42537584066349e-05,0.937001846463224,0.0823158432301179,0.135166274175887,0.120875979249261,1.42537584066349e-05,0.0493158866559592,1.66915468446051,2.74082619904704,2.45105558159228,0.000289029750312976,NA,0.0645425032368467,0.105981659741022,0.0947768737561562,1.11761382985003e-05,0.734687787127676,0.218,0.121,0.8,0.989,NA
Sc0001448:16881-19419,Sc0001448,16881,19419,1,1,1,1,19,0.0718442248800607,0.00486855962581825,0.0465293094548321,0.00172000342086347,1.9704378088878,0.0718442248800607,0.00486855962581825,0.0465293094548321,0.00172000342086347,0.103707253099358,0.692759886439473,0.0469452182014105,0.448660128045762,0.016585179623026,NA,0.034286641258838,0.00232345129502568,0.0222054555388773,0.000820847331202636,0.940363604576056,0.231,0.752,0.76,0.87,NA
Sc0000203:51662-2730,Sc0000203,51662,2730,1,1,1,1,19,0.0244977473222006,0.0252990754563391,0.187200591711921,0.00109531746143665,0.355314135927006,0.0244977473222006,0.0252990754563391,0.187200591711921,0.00109531746143665,0.0187007439961582,1.30998784472069,1.35283791177166,10.0103285596754,0.0585707959887408,NA,0.0412832217627786,0.0426336074382979,0.315467517895534,0.001845811905332,0.598769840998057,0.238,0.225,0.725,0.801,NA
xfSc0000073:110051-114241,xfSc0000073,110051,114241,1,1,1,1,19,0.0513011299439195,0.0207073430230565,0.124193713657846,0.0321653077792193,1.01038740385674,0.0513011299439195,0.0207073430230565,0.124193713657846,0.0321653077792193,0.0531782844135128,0.964700732821755,0.389394717250312,2.33542159224467,0.604857944064213,NA,0.0414134628375205,0.0167162552108812,0.100256890069387,0.0259658370064809,0.81564755487573,0.239,0.469,0.123,0.304,NA
Sc0000113:54833-142124,Sc0000113,54833,142124,1,1,1,1,19,0.0615166735097147,0.0260470750819217,0.079891685698458,0.00450303015131395,0.796250371789604,0.0615166735097147,0.0260470750819217,0.079891685698458,0.00450303015131395,0.041907914304716,1.46790110007436,0.621531171714515,1.90636272465288,0.107450590801824,NA,0.0635365751764704,0.0269023315086817,0.0825149313958502,0.00465088727019172,0.822395274648806,0.249,0.427,0.235,0.755,NA
xfSc0000362:37297-30954,xfSc0000362,37297,30954,1,1,1,1,19,0.0339298818111449,0.0128263623340162,2.92907593292951e-05,0.00125575164205038,0.665744161561607,0.0339298818111449,0.0128263623340162,2.92907593292951e-05,0.00125575164205038,0.0350391663979793,0.968341581696463,0.366057861888972,0.000835943383943755,0.0358385136160886,NA,0.0475351268382877,0.017969492608755,4.10358034153383e-05,0.00175928445358291,0.932695060295959,0.267,0.483,0.866,0.855,NA
Sc0000017:33426-165074,Sc0000017,33426,165074,1,1,1,1,19,0.0272543921852885,0.000986009798928555,0.0401195568483962,0.00168789264066231,0.42402049331743,0.0272543921852885,0.000986009798928555,0.0401195568483962,0.00168789264066231,0.0223168680693384,1.22124628333193,0.0441822658925538,1.79772344057172,0.0756330429260071,NA,0.0551632025663046,0.00199569514890949,0.08120244349067,0.00341631407569195,0.858222344718424,0.27,0.848,0.439,0.8,NA
xfSc0000034:157230-127554,xfSc0000034,157230,127554,1,1,1,1,19,0.0811305295319671,0.00289178654615825,0.0185678816257794,0.000393233177733612,1.40777755250816,0.0811305295319671,0.00289178654615825,0.0185678816257794,0.000393233177733612,0.0740935553951661,1.094974172845,0.0390288538690764,0.250600494560567,0.00530725210359209,NA,0.0537017638289342,0.00191412578028707,0.0122904164390832,0.00026028814753429,0.931833405804161,0.272,0.838,0.364,0.946,NA
Sc0000006:325834-33754,Sc0000006,325834,33754,1,1,1,1,19,0.0368577612955765,0.127226070122665,0.0237182505325348,0.0107336556578202,0.593621172782763,0.0368577612955765,0.127226070122665,0.0237182505325348,0.0107336556578202,0.0312432196201454,1.1797043244484,4.07211778009684,0.759148731177547,0.343551522164482,NA,0.0465283592329798,0.160607158068986,0.0299413540693813,0.0135499110302747,0.749373217598378,0.275,0.036,0.908,0.565,NA
Sc0000205:342190-62129,Sc0000205,342190,62129,1,1,1,1,19,0.0376112020554053,0.0109499544587031,0.0808004973589003,0.00282913674504312,1.29811193388333,0.0376112020554053,0.0109499544587031,0.0808004973589003,0.00282913674504312,0.0683216807307018,0.550501709752348,0.160270566262321,1.18264797491422,0.0414090624642931,NA,0.0262959731608684,0.00765569013547137,0.0564918852315464,0.00197799857091748,0.907578452901196,0.281,0.627,0.608,0.813,NA
Sc0001059:2735-576013,Sc0001059,2735,576013,1,1,1,1,19,0.0551231965499798,0.0186364148962288,0.00773893542844126,0.049580457659123,0.910192511688067,0.0551231965499798,0.0186364148962288,0.00773893542844126,0.049580457659123,0.0479048690362141,1.1506804560578,0.389029659639408,0.16154799259739,1.03497741788298,NA,0.0529383505562405,0.0178977477112303,0.00743219737395803,0.0476153019521952,0.874116402406376,0.281,0.533,0.18,0.315,NA
Sc0000017:37514-171256,Sc0000017,37514,171256,1,1,1,1,19,0.0228167907724545,0.012241588681519,0.0420961539528917,0.00553339139449155,0.324855788443419,0.0228167907724545,0.012241588681519,0.0420961539528917,0.00553339139449155,0.0170976730759694,1.33449684475036,0.715979807727426,2.46209842508085,0.323634179335705,NA,0.0559861188651202,0.0300374862466999,0.103292364928736,0.0135774181140861,0.797106611845357,0.283,0.464,0.236,0.661,NA
Sc0000374:95002-7494,Sc0000374,95002,7494,1,1,1,1,19,0.0591521174293662,0.0122271229417494,0.02666368589875,0.0129319223627707,1.07378539623202,0.0591521174293662,0.0122271229417494,0.02666368589875,0.0129319223627707,0.0565150208543171,1.04666187033438,0.216351737235808,0.47179821392056,0.228822747780741,NA,0.0499275002564957,0.0103203352701509,0.0225055541948877,0.010915223074731,0.906331387203735,0.301,0.657,0.258,0.628,NA
Sc0000644:155733-10606,Sc0000644,155733,10606,1,1,1,1,19,0.0398340823744632,0.0155823788148554,0.00199382455101373,7.93097398330694e-06,0.76754537464774,0.0398340823744632,0.0155823788148554,0.00199382455101373,7.93097398330694e-06,0.04039712498146,0.98606230994767,0.385729895927169,0.0493556051805366,0.000196325208463395,NA,0.0482858671480218,0.0188885654809664,0.00241686369179254,9.6137260678529e-06,0.930399089953151,0.302,0.532,0.81,0.989,NA
Sc0000314:3191-7273,Sc0000314,3191,7273,1,1,1,1,19,0.0493799528834692,0.00453594849463857,0.150649901073306,0.000445808260553265,1.27483729396316,0.0493799528834692,0.00453594849463857,0.150649901073306,0.000445808260553265,0.0670966996822715,0.735952038137527,0.0676031535994769,2.24526544206632,0.00664426510788665,NA,0.0333682396408637,0.00306514298879341,0.101800866694819,0.000301252552976775,0.861464498122547,0.307,0.765,0.401,0.938,NA
Sc0000342:12807-34981,Sc0000342,12807,34981,1,1,1,1,19,0.0506552010231567,0.104542391825776,1.0236067162608,0.0347919722207473,0.848177661603654,0.0506552010231567,0.104542391825776,1.0236067162608,0.0347919722207473,0.0446409295580871,1.13472549798148,2.34185069308973,22.9297805039852,0.779373829469113,NA,0.0245687463442615,0.0507050698666801,0.496468936261797,0.0168747754039584,0.411382472123303,0.308,0.164,0.499,0.393,NA
xfSc0001636:7449-22353,xfSc0001636,7449,22353,1,1,1,1,19,0.0688729098029322,0.00128651314725607,0.00503795362861366,8.97603712397277e-05,1.68336448821086,0.0688729098029322,0.00128651314725607,0.00503795362861366,8.97603712397277e-05,0.0885981309584662,0.777363010459206,0.0145207707356623,0.0568629786442718,0.00101311811286184,NA,0.0391623382468549,0.000731533823328067,0.00286466833825189,5.10393132758829e-05,0.957190420278289,0.309,0.883,0.474,0.976,NA
Sc0000214:180246-133579,Sc0000214,180246,133579,1,1,1,1,19,0.0417274637444625,0.0128021324159886,0.00342388873579356,0.0102695400151306,1.09153928212194,0.0417274637444625,0.0128021324159886,0.00342388873579356,0.0102695400151306,0.0574494359011545,0.726333741836165,0.222841742746012,0.0595983003503218,0.178757891248925,NA,0.0359793239454401,0.0110385829392374,0.00295223315590582,0.00885486616770662,0.94117499379171,0.319,0.593,0.23,0.626,NA
Sc0001641:13475-49591,Sc0001641,13475,49591,1,1,1,1,19,0.0464507629793964,0.00248620725284363,0.00588662106579507,0.00430882783134109,1.16033082989342,0.0464507629793964,0.00248620725284363,0.00588662106579507,0.00430882783134109,0.0610700436786012,0.760614536708979,0.0407107495440484,0.0963913026945766,0.0705555059697934,NA,0.038091154462112,0.00203877177507065,0.00482722301841587,0.00353338063676287,0.951509470107639,0.32,0.816,0.671,0.769,NA
Sc0000941:18661-699835,Sc0000941,18661,699835,1,1,1,1,19,0.0484434239496326,0.00751335333748912,0.00169569919557923,0.000943824163480572,1.29835703146147,0.0484434239496326,0.00751335333748912,0.00169569919557923,0.000943824163480572,0.0683345806032353,0.708915215722258,0.109949505377273,0.0248146572439627,0.0138118088257629,NA,0.0357001400146821,0.00553692832296539,0.00124963707701386,0.000695546516706364,0.956817748068632,0.321,0.72,0.72,0.906,NA
Sc0001187:34863-358473,Sc0001187,34863,358473,1,1,1,1,19,0.0407419057846299,0.00393699635794814,1.06250559417386,0.000174034833529069,0.7767815336372,0.0407419057846299,0.00393699635794814,1.06250559417386,0.000174034833529069,0.0408832386124842,0.996543012915539,0.0962985441360297,25.9887824505519,0.00425687493054733,NA,0.0216236077911926,0.00208954548100057,0.563920705276165,9.23683099688918e-05,0.412273773141673,0.321,0.791,0.708,0.944,NA
