#chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_BC-20-1	methylation_level_BC-20-2	methylation_level_BC-22-1	methylation_level_BC-22-2	methylation_level_BC-26-1	methylation_level_BC-26-2	methylation_level_BH-20-1	methylation_level_BH-20-2	methylation_level_BH-22-1	methylation_level_BH-22-2	methylation_level_BH-26-1	methylation_level_BH-26-2
Sc0000000	778313	778338	5	BC-26-2,BH-26-1	BH-22-2,BC-20-2	NA	0.14285714285714285	0.0	NA	0.4	0.9571428571428572	NA	NA	0.13333333333333333	0.0	0.9647058823529412	0.4074074074074074
Sc0000000	862711	862762	3	BH-22-2	BC-22-1,BC-26-1,BH-22-1,BH-26-2	0.8775510204081632	0.8928571428571429	0.15384615384615385	0.8181818181818182	0.1	0.9787234042553191	0.8645833333333334	0.7407407407407407	0.30434782608695654	0.9095238095238095	0.9444444444444444	0.2391304347826087
Sc0000000	1354612	1354741	3	BC-26-1,BC-26-2,BH-26-1	BC-20-1,BH-20-1,BH-22-1,BH-22-2,BC-22-1	0.47619047619047616	0.75	0.0	NA	0.8144329896907216	0.9342105263157895	0.25	NA	0.05263157894736842	0.125	0.94	0.4647887323943662
Sc0000003	1494008	1494515	4	BC-20-1,BC-20-2,BH-20-1,BH-20-2,BH-22-2	BC-26-2,BC-26-1,BH-26-1,BH-26-2	0.9421433267587114	0.9353348729792148	0.8961038961038961	0.914572864321608	0.8758949880668258	0.861673045379989	0.9407760381211708	0.9534246575342465	0.8698630136986302	0.9434470377019749	0.8745487364620939	0.8629191321499013
Sc0000004	894638	894786	3	BC-26-2	BC-22-1,BH-22-1,BH-26-2,BC-26-1	0.8349514563106796	0.7636363636363637	0.17857142857142858	0.78125	0.6	0.8934010152284264	0.6435643564356436	0.8	0.1951219512195122	0.7941176470588235	0.8681318681318682	0.6233766233766234
Sc0000006	307225	307365	4	BC-22-1,BC-22-2,BC-20-2	BC-20-1,BH-26-2	0.4457831325301205	0.6463414634146342	0.8367346938775511	0.9210526315789473	0.36363636363636365	0.7307692307692307	0.48484848484848486	0.5555555555555556	0.6363636363636364	0.49504950495049505	0.8275862068965517	0.4305555555555556
Sc0000006	310041	310270	3	BC-22-2,BC-26-2,BH-26-1,BC-22-1	BC-20-1,BC-20-2,BH-20-1,BH-20-2,BH-22-2	0.2361111111111111	0.20833333333333334	0.85	0.9692307692307692	0.75	0.9854014598540146	0.26666666666666666	0.11363636363636363	1.0	0.12222222222222222	0.9775280898876404	0.5531914893617021
Sc0000006	346812	346873	3	BC-20-2,BH-22-2,BH-20-2	BC-26-1,BC-26-2,BC-20-1,BH-22-1	0.735632183908046	0.9285714285714286	0.8888888888888888	0.8352941176470589	0.7155963302752294	0.7636363636363637	0.8984126984126984	0.9458333333333333	0.6341463414634146	0.9230769230769231	0.8706896551724138	0.7073170731707317
Sc0000006	1390081	1390168	3	BC-26-2,BH-26-1	BH-22-2,BH-26-2	0.45454545454545453	0.3333333333333333	0.6666666666666666	0.9166666666666666	0.5714285714285714	0.9714285714285714	0.3333333333333333	0.5789473684210527	NA	0.2608695652173913	0.9137931034482759	0.3333333333333333
Sc0000006	1401194	1401619	4	BC-22-2,BC-26-2,BH-26-1	BH-26-2	0.5526315789473685	0.6526315789473685	0.4897959183673469	0.75	0.45	0.8776978417266187	0.6557377049180327	0.7333333333333333	0.5	0.5950920245398773	0.8156424581005587	0.3888888888888889
Sc0000006	1419131	1419308	3	BC-20-1,BH-20-1,BH-20-2,BC-20-2	BC-22-1,BC-26-1,BH-22-1,BH-26-2	0.5050505050505051	0.5	0.045454545454545456	0.3448275862068966	0.015625	0.0	0.5167785234899329	0.7647058823529411	0.04950495049504951	0.31645569620253167	NA	0.027522935779816515
